id,autogluon_pseudo_oof
0,0.8737640380859375
1,0.03438626229763031
2,0.2614891231060028
3,0.11368090659379959
4,0.9612250924110413
5,0.014295647852122784
6,0.5945361852645874
7,0.014913469552993774
8,0.2547510862350464
9,0.043113499879837036
10,0.05521969124674797
11,0.9164577722549438
12,0.023881696164608
13,0.014105504378676414
14,0.04804256558418274
15,0.8105180263519287
16,0.22689621150493622
17,0.057855360209941864
18,0.2926258444786072
19,0.35822656750679016
20,0.6612881422042847
21,0.07295279949903488
22,0.013887058943510056
23,0.84788978099823
24,0.5757411122322083
25,0.12998810410499573
26,0.01621389016509056
27,0.381181538105011
28,0.5021519660949707
29,0.02700028382241726
30,0.7529776692390442
31,0.019976889714598656
32,0.012776545248925686
33,0.060820627957582474
34,0.06313813477754593
35,0.013019805774092674
36,0.015437964349985123
37,0.4258391857147217
38,0.02575848624110222
39,0.2160557210445404
40,0.37695908546447754
41,0.7195090055465698
42,0.13191035389900208
43,0.9554047584533691
44,0.07171598821878433
45,0.6036437749862671
46,0.7302242517471313
47,0.19968867301940918
48,0.6992802023887634
49,0.2981107234954834
50,0.3469042181968689
51,0.09508457779884338
52,0.05259713530540466
53,0.39442700147628784
54,0.4706255793571472
55,0.21840864419937134
56,0.025631673634052277
57,0.2890125811100006
58,0.07788486778736115
59,0.01667134463787079
60,0.06553586572408676
61,0.9185906648635864
62,0.012573087587952614
63,0.014603184536099434
64,0.019160831347107887
65,0.23650974035263062
66,0.8158224821090698
67,0.8903177976608276
68,0.013318561017513275
69,0.9603099822998047
70,0.06918235123157501
71,0.3354029953479767
72,0.05102191120386124
73,0.8976367712020874
74,0.015924904495477676
75,0.22077353298664093
76,0.011332979425787926
77,0.13329461216926575
78,0.9459564685821533
79,0.9217719435691833
80,0.05432868003845215
81,0.013391136191785336
82,0.8509214520454407
83,0.1873253583908081
84,0.032177336513996124
85,0.013825838454067707
86,0.01499296072870493
87,0.0853835791349411
88,0.6259887218475342
89,0.26417651772499084
90,0.904750406742096
