id,lightautoml_pseudo_oof
1,0.8511381
8,0.03818064
30,0.28562862
43,0.11465651
46,0.8707406
65,0.03570637
69,0.6107854
84,0.029364523
97,0.27485043
99,0.09137304
102,0.10834553
115,0.8438586
119,0.05788614
126,0.035317898
132,0.09284653
145,0.57648927
146,0.30954337
149,0.07480175
160,0.24052157
161,0.43225855
197,0.5958849
206,0.11092244
235,0.04778131
239,0.79543865
242,0.4667427
244,0.11548185
266,0.03557993
286,0.33365083
298,0.36551106
314,0.056037463
317,0.79403734
327,0.03842779
337,0.02099541
344,0.059550468
355,0.09734282
358,0.021010838
383,0.042889714
390,0.4924768
391,0.06212672
410,0.21401909
415,0.4080194
418,0.62339485
424,0.11435117
426,0.9045404
431,0.097571015
433,0.6629902
441,0.68198615
444,0.2367656
457,0.65817714
460,0.25175202
495,0.36723676
497,0.10982247
505,0.06106983
512,0.20789072
515,0.34227872
518,0.14377195
533,0.06763306
536,0.14253673
537,0.11891992
538,0.04086417
564,0.105780564
567,0.863552
570,0.020213485
578,0.022655182
585,0.022320706
621,0.23518175
622,0.6558141
633,0.76379347
654,0.020554217
660,0.9042713
662,0.07339125
665,0.3420979
670,0.088744715
685,0.8261495
687,0.044723064
695,0.2916668
711,0.021165706
740,0.2187403
765,0.87478983
767,0.83468497
769,0.08662721
771,0.02042682
772,0.84910154
782,0.21842864
783,0.04170229
785,0.033029497
797,0.01842155
800,0.11903351
814,0.486386
820,0.23841685
838,0.8167505
843,0.22758618
863,0.027433276
884,0.47245002
893,0.039680883
914,0.03414446
920,0.88443387
924,0.05269791
925,0.057496257
931,0.41399023
943,0.52841794
966,0.018846624
971,0.37955087
973,0.2620601
977,0.140373
980,0.101512164
987,0.81943667
999,0.31593397
1001,0.8875394
1015,0.6270874
1018,0.119853884
1035,0.09211264
1038,0.32489604
1055,0.85905075
1066,0.34972936
1068,0.8797039
1079,0.03412917
1100,0.7633769
1102,0.26947042
1103,0.8699826
1134,0.0503859
1172,0.045537792
1201,0.08952773
1210,0.6338904
1211,0.39503017
1225,0.026590334
1241,0.6392069
1245,0.047987215
1250,0.8664082
1277,0.8526529
1283,0.84845066
1290,0.2983067
1297,0.03645865
1300,0.5144015
1321,0.066534385
1326,0.7294635
1361,0.021872107
1363,0.49753696
1374,0.16529179
1390,0.88053405
1392,0.28594238
1405,0.66528237
1411,0.28306895
1417,0.019307796
1442,0.027382806
1464,0.66829777
1507,0.17110291
1520,0.4422251
1522,0.6561253
1544,0.08887107
1564,0.15731224
1572,0.10024144
1625,0.18530664
1628,0.32769382
1647,0.07941604
1651,0.17096743
1658,0.08114187
1670,0.13624805
1684,0.052245006
1702,0.12384418
1719,0.020227406
1731,0.04285079
1732,0.09099912
1739,0.21860674
1750,0.5630487
1759,0.8798622
1774,0.8984848
1797,0.16775262
1803,0.89130926
1826,0.28965405
1831,0.3884462
1880,0.021426585
1884,0.785449
1887,0.029892031
1890,0.01983425
1895,0.032108027
1909,0.018969394
1919,0.31161028
1931,0.56415105
1939,0.46609282
1950,0.053262055
1952,0.044603616
1959,0.17991614
1961,0.20007253
1987,0.13502078
1992,0.023064151
1999,0.8134107
2010,0.018095069
2029,0.4454037
