id,autogluon_shap_oof
0,0.9420448541641235
1,0.030549168586730957
2,0.2668471932411194
3,0.11533968895673752
4,0.9478963613510132
5,0.026287751272320747
6,0.6271665096282959
7,0.009402572177350521
8,0.2955513298511505
9,0.07936801761388779
10,0.08511039614677429
11,0.9108163118362427
12,0.05937815457582474
13,0.023826364427804947
14,0.08883389085531235
15,0.5756034851074219
16,0.30513864755630493
17,0.10002860426902771
18,0.26442933082580566
19,0.49588143825531006
20,0.6002506613731384
21,0.08129913359880447
22,0.027235958725214005
23,0.7745848298072815
24,0.47222647070884705
25,0.11696045100688934
26,0.01671499013900757
27,0.34836190938949585
28,0.5255118608474731
29,0.05097896605730057
30,0.7821943163871765
31,0.03649381175637245
32,0.0039542135782539845
33,0.06572027504444122
34,0.13099797070026398
35,0.007460826076567173
36,0.02778558060526848
37,0.5692019462585449
38,0.0362536758184433
39,0.23673775792121887
40,0.4109797477722168
41,0.6897324919700623
42,0.11684819310903549
43,0.9757112860679626
44,0.07396497577428818
45,0.6840163469314575
46,0.728161633014679
47,0.29267868399620056
48,0.6183874011039734
49,0.24777254462242126
50,0.4417129158973694
51,0.14487747848033905
52,0.08000164479017258
53,0.35031428933143616
54,0.3792346119880676
55,0.15108145773410797
56,0.036839548498392105
57,0.14782224595546722
58,0.09740836918354034
59,0.03153723105788231
60,0.08649168908596039
61,0.9171566963195801
62,0.00868767499923706
63,0.010620680637657642
64,0.024367941543459892
65,0.24038846790790558
66,0.6564235687255859
67,0.8297666907310486
68,0.011739003472030163
69,0.9612879157066345
70,0.05623647943139076
71,0.4254261553287506
72,0.07056071609258652
73,0.9258727431297302
74,0.025690389797091484
75,0.28650954365730286
76,0.010866902768611908
77,0.2159343659877777
78,0.9304851293563843
79,0.8654600381851196
80,0.06630276888608932
81,0.0045466115698218346
82,0.8808947801589966
83,0.2102201133966446
84,0.03308824449777603
85,0.02002636156976223
86,0.019711866974830627
87,0.127345472574234
88,0.4651660621166229
89,0.20514993369579315
90,0.8629019856452942
91,0.19791443645954132
92,0.0072768391110002995
93,0.419970840215683
94,0.02312774397432804
95,0.018340133130550385
96,0.9294387698173523
97,0.034773536026477814
98,0.05280166119337082
99,0.39590418338775635
100,0.5878782868385315
101,0.006604519207030535
102,0.41258543729782104
103,0.2730391323566437
104,0.13593977689743042
105,0.09161839634180069
106,0.8162850141525269
107,0.3636833727359772
108,0.9457092881202698
109,0.5673110485076904
110,0.1017279177904129
111,0.08756489306688309
112,0.33005785942077637
113,0.9305365681648254
114,0.3509804606437683
115,0.9622921943664551
116,0.039066851139068604
117,0.7687317132949829
118,0.2583698332309723
119,0.9206740260124207
120,0.046671297401189804
121,0.04242692515254021
122,0.10085513442754745
123,0.6537315845489502
124,0.3439911901950836
125,0.014334066770970821
126,0.5929453372955322
127,0.06442739814519882
128,0.9075038433074951
129,0.9372100830078125
130,0.9071758985519409
131,0.2957655191421509
132,0.03796803578734398
133,0.456952840089798
134,0.0464635007083416
135,0.7842270135879517
136,0.008586723357439041
137,0.5786271691322327
138,0.1859058141708374
139,0.9631091952323914
140,0.24472078680992126
141,0.6625162363052368
142,0.29755091667175293
143,0.013962138444185257
144,0.017822667956352234
145,0.6132367849349976
146,0.21560931205749512
147,0.4933813214302063
148,0.6796319484710693
149,0.14179721474647522
150,0.14109933376312256
151,0.10738451778888702
