id,predicted
0,0.8563192
2,0.5574726
4,0.22393607
7,0.2912765
15,0.27153146
26,0.06330214
44,0.71238947
45,0.038376834
57,0.8573974
66,0.033066716
77,0.39685714
79,0.7528538
86,0.6451676
89,0.16115731
90,0.32350928
105,0.018216878
120,0.017341595
123,0.03738201
125,0.89453673
129,0.34559327
143,0.027062578
151,0.087831505
153,0.09984454
154,0.887094
157,0.28035673
167,0.07069394
170,0.13954662
171,0.08898312
177,0.6916528
181,0.7503335
187,0.6973192
193,0.04935258
194,0.06533188
199,0.69986856
201,0.29626152
212,0.86777467
219,0.25253955
220,0.13713628
222,0.45665193
224,0.70313865
225,0.81646484
227,0.048278995
232,0.07025111
247,0.018607607
248,0.79690427
262,0.24849051
269,0.04095912
272,0.8336613
278,0.86774474
290,0.47772282
291,0.037570126
296,0.02695638
307,0.7333579
309,0.017259851
310,0.8127534
316,0.08642098
324,0.8933532
326,0.04526439
341,0.6671122
365,0.88380885
371,0.16648468
376,0.7143387
380,0.07896112
388,0.11994243
389,0.04117432
412,0.86061245
413,0.73505694
416,0.34146157
420,0.33573622
427,0.13109048
429,0.7605171
446,0.046490565
448,0.042545512
454,0.32914358
466,0.18975246
472,0.042522855
502,0.15885413
511,0.57549477
520,0.21849757
530,0.54993534
541,0.3022626
544,0.8076124
547,0.5947515
548,0.14161083
557,0.6509858
561,0.11854485
563,0.5911664
572,0.42958814
581,0.89617306
583,0.7708071
587,0.13269353
588,0.01809684
591,0.09355329
640,0.88180476
649,0.61399525
656,0.7365115
675,0.80315125
688,0.030628368
708,0.65267766
729,0.20449917
735,0.88893056
744,0.026886934
748,0.2354268
751,0.32165027
756,0.562011
762,0.11497113
764,0.8365908
773,0.065662935
779,0.035182662
791,0.8447417
802,0.2594918
805,0.017829003
807,0.20962414
819,0.06313724
828,0.21381871
831,0.21705487
836,0.68740296
845,0.8922495
859,0.8794371
869,0.70953685
874,0.21464013
875,0.017062373
877,0.6599143
885,0.057160415
899,0.23854434
901,0.34963855
902,0.061387703
912,0.19226193
916,0.03371162
932,0.030593429
934,0.5947428
942,0.7640134
946,0.31441617
972,0.039795667
1006,0.09375089
1019,0.31336847
1045,0.5664908
1046,0.8907163
1054,0.054815054
1075,0.032705866
1076,0.055106387
1086,0.12591827
1091,0.040439084
1093,0.017277813
1097,0.88733613
1101,0.43494987
1127,0.8886192
1137,0.09558569
1145,0.73651373
1157,0.09450218
1197,0.8816985
1209,0.07054864
1212,0.87934095
1219,0.07373033
1231,0.22309351
1260,0.8947986
1262,0.9053744
1263,0.8207116
1275,0.08642408
1282,0.21491523
1284,0.2841068
1286,0.57893074
1288,0.22116154
1309,0.906157
1327,0.8939387
1329,0.43123642
1330,0.033536218
1340,0.033943098
1353,0.13746066
1358,0.019929389
1367,0.6814452
1373,0.026987549
1386,0.18269423
1388,0.17959511
1397,0.16092911
1413,0.042290997
1432,0.028402157
1443,0.62062025
1445,0.8644767
1458,0.030085176
1473,0.73635244
1475,0.04101478
1480,0.6587465
1489,0.86703837
1535,0.04859162
1539,0.65879583
